,0,1,2,3,4,5
217,2.2654332574584996e-75,1.0,2.072989362344731e-149,4.858602819339297e-66,3.0141339533408035e-85,1.5642013278157743e-28
218,3.90293192297085e-124,1.0,3.648046897523169e-95,1.8350531898897505e-139,1.5063883571493684e-129,2.0968624995612994e-82
219,8.938125856682274e-119,1.0,6.546869300662838e-95,8.53767248946898e-132,1.5323170454912828e-124,8.518508142198462e-77
220,1.075474505476799e-118,1.0,4.666224020270656e-83,2.9638042071120783e-124,5.0041397135694315e-130,6.353437801432098e-75
221,8.302882420067453e-44,1.0,2.9333018132634833e-40,1.0960044543071721e-70,9.508448045029642e-53,5.909157893453979e-98
222,4.961600441690106e-120,1.0,5.356372558320755e-87,1.0549891084382865e-127,3.306453355750327e-128,6.64914776886291e-75
223,3.238386401936911e-13,1.6947049910252256e-127,4.663632179031205e-213,0.9999997296089694,3.0581351644111048e-15,2.703907037107843e-07
224,5.145766542066556e-112,1.0,4.3233220247350044e-124,6.286163079211363e-92,2.6199399054272318e-107,1.531161002747318e-56
225,1.3589170275847743e-113,0.0,0.0,0.9999999999999551,4.474200548813418e-14,0.0
226,1.6982820788164308e-72,0.0,0.0,0.9999999999999996,3.6455572699939107e-16,0.0
227,5.332522157163085e-99,1.0,3.029153730266936e-300,2.1270052567204975e-182,2.4952747341916136e-102,6.319898589624485e-156
228,6.362176199551577e-79,1.93074567153976e-17,3.8677831776149764e-26,1.0055242804979207e-97,7.597578991174798e-141,1.0
229,4.2657433643312317e-116,0.0,0.0,0.9999999999999998,1.610328364978564e-16,0.0
230,1.1342609507451593e-77,0.0,0.0,0.999999994111425,5.888574895750059e-09,1e-323
231,1.6570291092590277e-84,1.0,6.1378824044937564e-285,8.740331750668871e-170,6.484411652113845e-87,2.894156658786157e-160
232,1.883883790300224e-108,1.0,2.238180916471189e-99,6.238129787453119e-88,2.7897560709964307e-104,3.7764601492552867e-53
233,2.07547425271168e-115,0.0,0.0,0.9999999999999998,1.2702506814119913e-16,0.0
234,1.76262093613365e-123,1.0,1.4734417783484955e-99,1.719856761522886e-121,7.878767017499601e-128,3.576775059399661e-76
235,1.382028423832863e-70,1.0,3.0131912497773465e-94,1.4089096992157985e-60,4.0796551293903776e-80,1.2177442641544632e-24
236,2.7032382487367696e-121,1.0,6.055858055806693e-99,1.3502470461071237e-190,1.169209026088447e-125,3.855096086210531e-76
